strategy,lambda,auroc_mean,auroc_ci,auroc,auprc_mean,auprc_ci,auprc,f1_mean,f1_ci,f1,accuracy_mean,accuracy_ci,accuracy,sensitivity_mean,sensitivity_ci,sensitivity,specificity_mean,specificity_ci,specificity
noise_0_10,0.0,0.9995536147657289,0.00024500199311994664,0.9996 ± 0.0002,0.9995918158908319,0.00022027037602030845,0.9996 ± 0.0002,0.9574872824221101,0.00947461909375337,0.9575 ± 0.0095,0.9553965122660669,0.010422693728996128,0.9554 ± 0.0104,0.9984253848260825,0.001328145898035421,0.9984 ± 0.0013,0.9123676397060512,0.021082430479257203,0.9124 ± 0.0211
noise_0_10,0.25,0.998869063359143,0.00044063888418492805,0.9989 ± 0.0004,0.9989851640941497,0.0003623072644837341,0.9990 ± 0.0004,0.9554660836945514,0.009622347759127962,0.9555 ± 0.0096,0.9532672172634038,0.010737139533552662,0.9533 ± 0.0107,0.9962000118200267,0.002110983001550464,0.9962 ± 0.0021,0.9103344227067811,0.02231065525194723,0.9103 ± 0.0223
noise_0_10,0.5,0.9976309541051614,0.0010659115243415826,0.9976 ± 0.0011,0.9978473796670648,0.0009141361037549771,0.9978 ± 0.0009,0.9528301555345641,0.007446360702221462,0.9528 ± 0.0074,0.9506919703382314,0.008248101113619162,0.9507 ± 0.0082,0.9924459474723009,0.004497913926655369,0.9924 ± 0.0045,0.9089379932041624,0.017668929810948482,0.9089 ± 0.0177
noise_0_10,1.0,0.9945230868337636,0.0020119455131885904,0.9945 ± 0.0020,0.9952138999732059,0.0017661530059612301,0.9952 ± 0.0018,0.9464889890675868,0.008615388307241907,0.9465 ± 0.0086,0.9442654910648901,0.009432640903188235,0.9443 ± 0.0094,0.982318048852785,0.007239740632836906,0.9823 ± 0.0072,0.9062129332769955,0.019563246406841674,0.9062 ± 0.0196
noise_0_10,5.0,0.9129313442131674,0.008962651684724208,0.9129 ± 0.0090,0.9200666586720126,0.008974709599562229,0.9201 ± 0.0090,0.7948613713451074,0.016050637153855036,0.7949 ± 0.0161,0.8149974692290897,0.010958949519319961,0.8150 ± 0.0110,0.7206365497783425,0.03142642242820198,0.7206 ± 0.0314,0.9093583886798369,0.018576897372106153,0.9094 ± 0.0186
noise_0_10,10.0,0.7617863128436504,0.010059363457541668,0.7618 ± 0.0101,0.7666027858794073,0.012410275560103736,0.7666 ± 0.0124,0.5174635344953946,0.033001525392977016,0.5175 ± 0.0330,0.6472990538092522,0.012516512497568705,0.6473 ± 0.0125,0.38335958006346965,0.04075866435486143,0.3834 ± 0.0408,0.911238527555035,0.02285005986631624,0.9112 ± 0.0229
noise_0_10,25.0,0.5933498764795598,0.011735997896104718,0.5933 ± 0.0117,0.5792032577470525,0.013422919051263797,0.5792 ± 0.0134,0.23041191104501535,0.04160372082426075,0.2304 ± 0.0416,0.5268075634926287,0.010460584492767155,0.5268 ± 0.0105,0.14485272101311106,0.03183519286767469,0.1449 ± 0.0318,0.9087624059721465,0.01822470687483723,0.9088 ± 0.0182
noise_0_10,50.0,0.5349130046383365,0.015538696734226498,0.5349 ± 0.0155,0.5307619349243691,0.014554884285789446,0.5308 ± 0.0146,0.16878030482956527,0.028796508891736527,0.1688 ± 0.0288,0.5060053655715652,0.007322028435170359,0.5060 ± 0.0073,0.1020377336884691,0.021216919614460154,0.1020 ± 0.0212,0.9099729974546612,0.02347737490394868,0.9100 ± 0.0235
noise_0_10,75.0,0.5300652766620614,0.010229472833042428,0.5301 ± 0.0102,0.5269494363085067,0.011078394875656154,0.5269 ± 0.0111,0.17142782753018562,0.031020524446156147,0.1714 ± 0.0310,0.508850677203909,0.0038951884667930577,0.5089 ± 0.0039,0.1036112922747628,0.022798096502245367,0.1036 ± 0.0228,0.914090062133055,0.019711200848837446,0.9141 ± 0.0197
noise_0_10,100.0,0.5026506386347324,0.015379506167975059,0.5027 ± 0.0154,0.5001935233270154,0.01096210857077643,0.5002 ± 0.0110,0.1430620110073432,0.03208673298530656,0.1431 ± 0.0321,0.4946800619276724,0.007414749728369901,0.4947 ± 0.0074,0.08625717287118026,0.02287254321813657,0.0863 ± 0.0229,0.9031029509841645,0.021844345806110756,0.9031 ± 0.0218
noise_10,0.0,0.9997508816603716,0.0001756099776418219,0.9998 ± 0.0002,0.9997649754898468,0.00016411067156606342,0.9998 ± 0.0002,0.9390015192671711,0.009036345267708952,0.9390 ± 0.0090,0.9347792056902472,0.010372766791758864,0.9348 ± 0.0104,1.0,0.0,1.0000 ± 0.0000,0.8695584113804944,0.02074553358351771,0.8696 ± 0.0207
noise_10,0.25,0.997397342952236,0.000670362387232184,0.9974 ± 0.0007,0.9977903291308412,0.000545183125595919,0.9978 ± 0.0005,0.9327542371225924,0.007957157617331278,0.9328 ± 0.0080,0.9280654464443572,0.008978839586839394,0.9281 ± 0.0090,0.9952548928222906,0.0015992419508958618,0.9953 ± 0.0016,0.8608760000664235,0.017290084102051895,0.8609 ± 0.0173
noise_10,0.5,0.9945004924107556,0.0016239556885283889,0.9945 ± 0.0016,0.9954092035831451,0.0012534559345920686,0.9954 ± 0.0013,0.9342557659715457,0.009295161522763941,0.9343 ± 0.0093,0.9300479654494678,0.010442164586573028,0.9300 ± 0.0104,0.9907221963615879,0.003000401975722508,0.9907 ± 0.0030,0.8693737345373478,0.0197254972322674,0.8694 ± 0.0197
noise_10,1.0,0.9887892346281554,0.002513739583425978,0.9888 ± 0.0025,0.9902376721812265,0.0021709637813540224,0.9902 ± 0.0022,0.9241298318487547,0.009823237961934461,0.9241 ± 0.0098,0.919330706489679,0.011245087503277256,0.9193 ± 0.0112,0.9790755450179889,0.004458555917044383,0.9791 ± 0.0045,0.8595858679613692,0.022233915996232107,0.8596 ± 0.0222
noise_10,5.0,0.895868833407089,0.010764323680809025,0.8959 ± 0.0108,0.9018425083550454,0.009617277391890099,0.9018 ± 0.0096,0.7994499536753051,0.010552896489788894,0.7994 ± 0.0106,0.8110882285959196,0.009911916591520577,0.8111 ± 0.0099,0.7535661906531455,0.0206053347540927,0.7536 ± 0.0206,0.8686102665386939,0.02370259009034069,0.8686 ± 0.0237
noise_10,10.0,0.7650519350783175,0.013146574821963158,0.7651 ± 0.0131,0.7713033425762347,0.01737078655651925,0.7713 ± 0.0174,0.5867595807220172,0.027917837560920998,0.5868 ± 0.0279,0.6695445567134339,0.0143752189312607,0.6695 ± 0.0144,0.47289743146666086,0.035224950391828526,0.4729 ± 0.0352,0.8661916819602073,0.01956780094002001,0.8662 ± 0.0196
noise_10,25.0,0.605751616191369,0.014695779141428588,0.6058 ± 0.0147,0.5941354966996443,0.015493105522887551,0.5941 ± 0.0155,0.31660712427563403,0.0399860984697691,0.3166 ± 0.0400,0.54238509651922,0.011746877499871867,0.5424 ± 0.0117,0.2155979689156598,0.034024307876541156,0.2156 ± 0.0340,0.8691722241227804,0.020158488412151884,0.8692 ± 0.0202
noise_10,50.0,0.5299256811015707,0.014758678729750854,0.5299 ± 0.0148,0.52987861345815,0.01498367282372851,0.5299 ± 0.0150,0.23465080281619768,0.030997324479582488,0.2347 ± 0.0310,0.5078455927244201,0.009117271479936698,0.5078 ± 0.0091,0.15300524665126605,0.024923928918202064,0.1530 ± 0.0249,0.8626859387975744,0.02400980616554577,0.8627 ± 0.0240
noise_10,75.0,0.5247555259163921,0.011215073050908776,0.5248 ± 0.0112,0.5232204688958622,0.009997874305050926,0.5232 ± 0.0100,0.22629997554026424,0.03159011007437237,0.2263 ± 0.0316,0.5076903628522392,0.007842507139531288,0.5077 ± 0.0078,0.14620375951921633,0.02525839193749615,0.1462 ± 0.0253,0.869176966185262,0.02190052152991228,0.8692 ± 0.0219
noise_10,100.0,0.5169223722434886,0.013675590520106473,0.5169 ± 0.0137,0.5198371819103336,0.010083453129822645,0.5198 ± 0.0101,0.227205815661964,0.03629380526748134,0.2272 ± 0.0363,0.5093892804355151,0.007996507223464348,0.5094 ± 0.0080,0.14690389508406923,0.02798773615391025,0.1469 ± 0.0280,0.871874665786961,0.019977133535361777,0.8719 ± 0.0200
